query,intent,target,parameter,modifier,conditions
Optimize current readings on the grid_tie_inverter.,optimize,grid_tie_inverter,current,none,heatwave
Check charge_controller — current seems high.,check,charge_controller,current,high,under_cloud_cover
Inspect irradiance readings on the pv_array.,inspect,pv_array,irradiance,high,post_storm
Predict solar_panel — efficiency seems unstable.,predict,solar_panel,efficiency,unstable,none
Log the microgrid_controller current.,log,microgrid_controller,current,overload,post_storm
Inspect inverter — load_balance seems none.,inspect,inverter,load_balance,none,during_peak_hours
Inspect state_of_charge readings on the battery_bank.,inspect,battery_bank,state_of_charge,intermittent,during_peak_hours
Monitor sensor discrepancy: charge_controller irradiance.,monitor,charge_controller,irradiance,critical,none
Inspect the grid_tie_inverter current.,inspect,grid_tie_inverter,current,low,at_night
Check sensor discrepancy: battery_bank temperature.,check,battery_bank,temperature,critical,heatwave
Predict efficiency readings on the solar_panel.,predict,solar_panel,efficiency,high,during_peak_hours
Reset the pv_array irradiance.,reset,pv_array,irradiance,critical,heatwave
Monitor issue detected in solar_panel frequency.,monitor,solar_panel,frequency,high,post_storm
Log issue detected in inverter efficiency.,log,inverter,efficiency,intermittent,under_cloud_cover
Monitor anomaly in solar_panel irradiance.,monitor,solar_panel,irradiance,unstable,under_cloud_cover
Optimize battery_bank — voltage seems high.,optimize,battery_bank,voltage,high,heatwave
Optimize the pv_array state_of_charge.,optimize,pv_array,state_of_charge,high,post_storm
Log sensor discrepancy: smart_meter frequency.,log,smart_meter,frequency,none,at_night
Inspect sensor discrepancy: solar_panel voltage.,inspect,solar_panel,voltage,sudden_drop,none
Log why the pv_array fault_code is none.,log,pv_array,fault_code,none,at_night
Check the inverter current.,check,inverter,current,critical,heatwave
Check anomaly in solar_panel load_balance.,check,solar_panel,load_balance,critical,at_night
Log anomaly in microgrid_controller fault_code.,log,microgrid_controller,fault_code,unstable,at_night
Optimize anomaly in smart_meter voltage.,optimize,smart_meter,voltage,high,none
Diagnose anomaly in pv_array efficiency.,diagnose,pv_array,efficiency,intermittent,during_peak_hours
Log pv_array — irradiance seems low.,log,pv_array,irradiance,low,heatwave
Predict issue detected in solar_panel fault_code.,predict,solar_panel,fault_code,critical,at_night
Optimize sensor discrepancy: inverter irradiance.,optimize,inverter,irradiance,intermittent,none
Check state_of_charge readings on the pv_array.,check,pv_array,state_of_charge,high,post_storm
Log why the pv_array irradiance is critical.,log,pv_array,irradiance,critical,heatwave
Predict the low irradiance in the smart_meter.,predict,smart_meter,irradiance,low,during_peak_hours
Check battery_bank — temperature seems overload.,check,battery_bank,temperature,overload,none
Optimize anomaly in grid_tie_inverter load_balance.,optimize,grid_tie_inverter,load_balance,unstable,at_night
Optimize why the solar_panel temperature is none.,optimize,solar_panel,temperature,none,none
Inspect irradiance readings on the solar_panel.,inspect,solar_panel,irradiance,sudden_drop,during_peak_hours
Predict anomaly in smart_meter irradiance.,predict,smart_meter,irradiance,low,at_night
Monitor the smart_meter voltage.,monitor,smart_meter,voltage,intermittent,during_peak_hours
Monitor sensor discrepancy: solar_panel irradiance.,monitor,solar_panel,irradiance,sudden_drop,at_night
Diagnose the charge_controller output_power.,diagnose,charge_controller,output_power,intermittent,heatwave
Diagnose issue detected in microgrid_controller state_of_charge.,diagnose,microgrid_controller,state_of_charge,intermittent,post_storm
Predict sensor discrepancy: solar_panel frequency.,predict,solar_panel,frequency,critical,under_cloud_cover
Monitor anomaly in charge_controller efficiency.,monitor,charge_controller,efficiency,critical,during_peak_hours
Inspect battery_bank — load_balance seems intermittent.,inspect,battery_bank,load_balance,intermittent,none
Predict issue detected in inverter temperature.,predict,inverter,temperature,unstable,during_peak_hours
Predict anomaly in grid_tie_inverter irradiance.,predict,grid_tie_inverter,irradiance,intermittent,none
Check the inverter efficiency.,check,inverter,efficiency,high,under_cloud_cover
Monitor the high load_balance in the charge_controller.,monitor,charge_controller,load_balance,high,post_storm
Inspect the low efficiency in the solar_panel.,inspect,solar_panel,efficiency,low,under_cloud_cover
Log sensor discrepancy: charge_controller state_of_charge.,log,charge_controller,state_of_charge,unstable,post_storm
Inspect the overload load_balance in the charge_controller.,inspect,charge_controller,load_balance,overload,post_storm
Reset sensor discrepancy: smart_meter output_power.,reset,smart_meter,output_power,high,at_night
Optimize why the pv_array output_power is sudden_drop.,optimize,pv_array,output_power,sudden_drop,post_storm
Reset the high efficiency in the solar_panel.,reset,solar_panel,efficiency,high,under_cloud_cover
Diagnose the grid_tie_inverter state_of_charge.,diagnose,grid_tie_inverter,state_of_charge,low,at_night
Inspect grid_tie_inverter — output_power seems intermittent.,inspect,grid_tie_inverter,output_power,intermittent,under_cloud_cover
Log efficiency readings on the inverter.,log,inverter,efficiency,unstable,under_cloud_cover
Monitor load_balance readings on the grid_tie_inverter.,monitor,grid_tie_inverter,load_balance,sudden_drop,at_night
Optimize issue detected in battery_bank irradiance.,optimize,battery_bank,irradiance,unstable,post_storm
Optimize anomaly in smart_meter load_balance.,optimize,smart_meter,load_balance,intermittent,under_cloud_cover
Predict anomaly in solar_panel state_of_charge.,predict,solar_panel,state_of_charge,intermittent,post_storm
Monitor the inverter current.,monitor,inverter,current,low,at_night
Log state_of_charge readings on the smart_meter.,log,smart_meter,state_of_charge,unstable,post_storm
Log anomaly in grid_tie_inverter output_power.,log,grid_tie_inverter,output_power,low,during_peak_hours
Log anomaly in smart_meter state_of_charge.,log,smart_meter,state_of_charge,critical,none
Optimize sensor discrepancy: battery_bank output_power.,optimize,battery_bank,output_power,low,during_peak_hours
Monitor anomaly in pv_array current.,monitor,pv_array,current,low,at_night
Optimize issue detected in microgrid_controller temperature.,optimize,microgrid_controller,temperature,critical,none
Predict the unstable fault_code in the inverter.,predict,inverter,fault_code,unstable,at_night
Optimize the unstable load_balance in the pv_array.,optimize,pv_array,load_balance,unstable,at_night
Optimize the battery_bank voltage.,optimize,battery_bank,voltage,overload,during_peak_hours
Monitor sensor discrepancy: pv_array voltage.,monitor,pv_array,voltage,unstable,at_night
Reset anomaly in solar_panel state_of_charge.,reset,solar_panel,state_of_charge,low,none
Log the overload efficiency in the smart_meter.,log,smart_meter,efficiency,overload,at_night
Predict issue detected in solar_panel load_balance.,predict,solar_panel,load_balance,overload,heatwave
Monitor issue detected in charge_controller voltage.,monitor,charge_controller,voltage,unstable,heatwave
Optimize microgrid_controller — fault_code seems intermittent.,optimize,microgrid_controller,fault_code,intermittent,none
Log why the pv_array current is overload.,log,pv_array,current,overload,under_cloud_cover
Diagnose issue detected in charge_controller load_balance.,diagnose,charge_controller,load_balance,overload,during_peak_hours
Inspect frequency readings on the smart_meter.,inspect,smart_meter,frequency,overload,at_night
Optimize battery_bank — temperature seems critical.,optimize,battery_bank,temperature,critical,at_night
Inspect anomaly in solar_panel output_power.,inspect,solar_panel,output_power,low,heatwave
Reset the solar_panel frequency.,reset,solar_panel,frequency,none,post_storm
Check sensor discrepancy: microgrid_controller output_power.,check,microgrid_controller,output_power,sudden_drop,heatwave
Check microgrid_controller — current seems intermittent.,check,microgrid_controller,current,intermittent,during_peak_hours
Optimize fault_code readings on the inverter.,optimize,inverter,fault_code,intermittent,during_peak_hours
Log sensor discrepancy: inverter state_of_charge.,log,inverter,state_of_charge,none,heatwave
Predict the intermittent frequency in the grid_tie_inverter.,predict,grid_tie_inverter,frequency,intermittent,during_peak_hours
Diagnose anomaly in solar_panel efficiency.,diagnose,solar_panel,efficiency,none,under_cloud_cover
Optimize why the solar_panel state_of_charge is none.,optimize,solar_panel,state_of_charge,none,under_cloud_cover
Reset anomaly in charge_controller load_balance.,reset,charge_controller,load_balance,intermittent,none
Predict issue detected in solar_panel current.,predict,solar_panel,current,low,under_cloud_cover
Log the intermittent output_power in the pv_array.,log,pv_array,output_power,intermittent,during_peak_hours
Diagnose the charge_controller efficiency.,diagnose,charge_controller,efficiency,low,heatwave
Optimize issue detected in grid_tie_inverter frequency.,optimize,grid_tie_inverter,frequency,overload,heatwave
Optimize issue detected in pv_array state_of_charge.,optimize,pv_array,state_of_charge,intermittent,under_cloud_cover
Optimize issue detected in solar_panel output_power.,optimize,solar_panel,output_power,sudden_drop,heatwave
Log the intermittent irradiance in the grid_tie_inverter.,log,grid_tie_inverter,irradiance,intermittent,under_cloud_cover
Reset irradiance readings on the smart_meter.,reset,smart_meter,irradiance,unstable,under_cloud_cover
Check the overload fault_code in the microgrid_controller.,check,microgrid_controller,fault_code,overload,post_storm
Predict anomaly in grid_tie_inverter current.,predict,grid_tie_inverter,current,low,during_peak_hours
Optimize the unstable load_balance in the charge_controller.,optimize,charge_controller,load_balance,unstable,under_cloud_cover
Check battery_bank — frequency seems critical.,check,battery_bank,frequency,critical,during_peak_hours
Reset efficiency readings on the battery_bank.,reset,battery_bank,efficiency,intermittent,during_peak_hours
Inspect the inverter current.,inspect,inverter,current,critical,under_cloud_cover
Log why the charge_controller irradiance is sudden_drop.,log,charge_controller,irradiance,sudden_drop,during_peak_hours
Reset sensor discrepancy: charge_controller temperature.,reset,charge_controller,temperature,intermittent,under_cloud_cover
Monitor the low fault_code in the pv_array.,monitor,pv_array,fault_code,low,none
Reset load_balance readings on the pv_array.,reset,pv_array,load_balance,sudden_drop,at_night
Log the smart_meter load_balance.,log,smart_meter,load_balance,unstable,heatwave
Check issue detected in pv_array fault_code.,check,pv_array,fault_code,overload,at_night
Monitor grid_tie_inverter — current seems overload.,monitor,grid_tie_inverter,current,overload,none
Monitor the pv_array voltage.,monitor,pv_array,voltage,overload,under_cloud_cover
Predict the smart_meter current.,predict,smart_meter,current,overload,heatwave
Predict issue detected in inverter output_power.,predict,inverter,output_power,low,none
Log the microgrid_controller efficiency.,log,microgrid_controller,efficiency,overload,during_peak_hours
Monitor sensor discrepancy: microgrid_controller state_of_charge.,monitor,microgrid_controller,state_of_charge,low,at_night
Check issue detected in pv_array frequency.,check,pv_array,frequency,none,at_night
Optimize the overload state_of_charge in the solar_panel.,optimize,solar_panel,state_of_charge,overload,under_cloud_cover
Diagnose the low frequency in the pv_array.,diagnose,pv_array,frequency,low,at_night
Optimize why the solar_panel state_of_charge is sudden_drop.,optimize,solar_panel,state_of_charge,sudden_drop,none
Log issue detected in pv_array current.,log,pv_array,current,none,none
Predict inverter — voltage seems intermittent.,predict,inverter,voltage,intermittent,heatwave
Optimize sensor discrepancy: smart_meter current.,optimize,smart_meter,current,sudden_drop,during_peak_hours
Predict the low frequency in the microgrid_controller.,predict,microgrid_controller,frequency,low,post_storm
Diagnose issue detected in solar_panel efficiency.,diagnose,solar_panel,efficiency,high,at_night
Reset the overload irradiance in the solar_panel.,reset,solar_panel,irradiance,overload,post_storm
Log load_balance readings on the inverter.,log,inverter,load_balance,sudden_drop,during_peak_hours
Inspect why the smart_meter output_power is unstable.,inspect,smart_meter,output_power,unstable,none
Optimize output_power readings on the microgrid_controller.,optimize,microgrid_controller,output_power,low,during_peak_hours
Log current readings on the charge_controller.,log,charge_controller,current,none,post_storm
Check sensor discrepancy: inverter current.,check,inverter,current,low,under_cloud_cover
Optimize load_balance readings on the pv_array.,optimize,pv_array,load_balance,high,during_peak_hours
Diagnose why the solar_panel irradiance is high.,diagnose,solar_panel,irradiance,high,under_cloud_cover
Inspect the grid_tie_inverter efficiency.,inspect,grid_tie_inverter,efficiency,low,none
Monitor the inverter temperature.,monitor,inverter,temperature,low,under_cloud_cover
Diagnose the charge_controller voltage.,diagnose,charge_controller,voltage,unstable,post_storm
Reset issue detected in microgrid_controller irradiance.,reset,microgrid_controller,irradiance,critical,none
Optimize anomaly in grid_tie_inverter irradiance.,optimize,grid_tie_inverter,irradiance,high,none
Optimize issue detected in inverter state_of_charge.,optimize,inverter,state_of_charge,overload,none
Inspect the battery_bank output_power.,inspect,battery_bank,output_power,intermittent,at_night
Predict sensor discrepancy: microgrid_controller voltage.,predict,microgrid_controller,voltage,low,during_peak_hours
Diagnose why the battery_bank fault_code is high.,diagnose,battery_bank,fault_code,high,post_storm
Diagnose why the solar_panel output_power is unstable.,diagnose,solar_panel,output_power,unstable,at_night
Check irradiance readings on the microgrid_controller.,check,microgrid_controller,irradiance,sudden_drop,post_storm
Monitor sensor discrepancy: charge_controller state_of_charge.,monitor,charge_controller,state_of_charge,unstable,at_night
Reset sensor discrepancy: battery_bank state_of_charge.,reset,battery_bank,state_of_charge,none,heatwave
Predict anomaly in pv_array output_power.,predict,pv_array,output_power,none,under_cloud_cover
Diagnose output_power readings on the smart_meter.,diagnose,smart_meter,output_power,high,post_storm
Monitor charge_controller — fault_code seems sudden_drop.,monitor,charge_controller,fault_code,sudden_drop,during_peak_hours
Predict anomaly in microgrid_controller temperature.,predict,microgrid_controller,temperature,high,heatwave
Optimize issue detected in smart_meter output_power.,optimize,smart_meter,output_power,sudden_drop,none
Log issue detected in solar_panel state_of_charge.,log,solar_panel,state_of_charge,high,post_storm
Log fault_code readings on the microgrid_controller.,log,microgrid_controller,fault_code,intermittent,heatwave
Inspect the battery_bank state_of_charge.,inspect,battery_bank,state_of_charge,sudden_drop,none
Optimize battery_bank — irradiance seems unstable.,optimize,battery_bank,irradiance,unstable,post_storm
Log why the battery_bank irradiance is high.,log,battery_bank,irradiance,high,none
Check the charge_controller state_of_charge.,check,charge_controller,state_of_charge,intermittent,during_peak_hours
Check the inverter temperature.,check,inverter,temperature,high,post_storm
Log battery_bank — load_balance seems overload.,log,battery_bank,load_balance,overload,at_night
Predict the charge_controller output_power.,predict,charge_controller,output_power,overload,during_peak_hours
Log smart_meter — output_power seems none.,log,smart_meter,output_power,none,heatwave
Check voltage readings on the pv_array.,check,pv_array,voltage,high,during_peak_hours
Monitor anomaly in smart_meter temperature.,monitor,smart_meter,temperature,overload,at_night
Diagnose the unstable efficiency in the battery_bank.,diagnose,battery_bank,efficiency,unstable,during_peak_hours
Optimize state_of_charge readings on the charge_controller.,optimize,charge_controller,state_of_charge,unstable,none
Check battery_bank — current seems intermittent.,check,battery_bank,current,intermittent,under_cloud_cover
Optimize smart_meter — irradiance seems unstable.,optimize,smart_meter,irradiance,unstable,under_cloud_cover
Predict anomaly in grid_tie_inverter temperature.,predict,grid_tie_inverter,temperature,none,at_night
Log sensor discrepancy: solar_panel voltage.,log,solar_panel,voltage,sudden_drop,at_night
Diagnose battery_bank — output_power seems critical.,diagnose,battery_bank,output_power,critical,under_cloud_cover
Inspect voltage readings on the pv_array.,inspect,pv_array,voltage,intermittent,none
Log current readings on the pv_array.,log,pv_array,current,critical,during_peak_hours
Log the grid_tie_inverter state_of_charge.,log,grid_tie_inverter,state_of_charge,none,post_storm
Monitor pv_array — temperature seems critical.,monitor,pv_array,temperature,critical,heatwave
Predict battery_bank — irradiance seems unstable.,predict,battery_bank,irradiance,unstable,heatwave
Optimize why the microgrid_controller output_power is intermittent.,optimize,microgrid_controller,output_power,intermittent,none
Optimize issue detected in solar_panel output_power.,optimize,solar_panel,output_power,sudden_drop,post_storm
Check why the smart_meter current is sudden_drop.,check,smart_meter,current,sudden_drop,at_night
Monitor why the solar_panel voltage is high.,monitor,solar_panel,voltage,high,at_night
Optimize the critical efficiency in the charge_controller.,optimize,charge_controller,efficiency,critical,during_peak_hours
Check load_balance readings on the solar_panel.,check,solar_panel,load_balance,sudden_drop,heatwave
Reset fault_code readings on the pv_array.,reset,pv_array,fault_code,unstable,none
Optimize the none irradiance in the microgrid_controller.,optimize,microgrid_controller,irradiance,none,under_cloud_cover
Monitor anomaly in microgrid_controller voltage.,monitor,microgrid_controller,voltage,high,at_night
Optimize sensor discrepancy: inverter fault_code.,optimize,inverter,fault_code,intermittent,none
Reset the unstable efficiency in the smart_meter.,reset,smart_meter,efficiency,unstable,post_storm
Diagnose sensor discrepancy: microgrid_controller temperature.,diagnose,microgrid_controller,temperature,unstable,at_night
Log anomaly in grid_tie_inverter output_power.,log,grid_tie_inverter,output_power,unstable,at_night
Check current readings on the charge_controller.,check,charge_controller,current,critical,none
Diagnose issue detected in smart_meter voltage.,diagnose,smart_meter,voltage,unstable,at_night
Optimize the inverter load_balance.,optimize,inverter,load_balance,none,post_storm
Inspect issue detected in battery_bank state_of_charge.,inspect,battery_bank,state_of_charge,low,post_storm
Check why the battery_bank output_power is high.,check,battery_bank,output_power,high,heatwave
Optimize issue detected in smart_meter irradiance.,optimize,smart_meter,irradiance,none,during_peak_hours
Log the pv_array temperature.,log,pv_array,temperature,unstable,none
Inspect why the charge_controller temperature is sudden_drop.,inspect,charge_controller,temperature,sudden_drop,at_night
Reset the smart_meter efficiency.,reset,smart_meter,efficiency,high,during_peak_hours
Check the low frequency in the smart_meter.,check,smart_meter,frequency,low,none
Monitor sensor discrepancy: charge_controller irradiance.,monitor,charge_controller,irradiance,none,under_cloud_cover
Diagnose microgrid_controller — efficiency seems unstable.,diagnose,microgrid_controller,efficiency,unstable,under_cloud_cover
Predict sensor discrepancy: smart_meter state_of_charge.,predict,smart_meter,state_of_charge,none,heatwave
Monitor current readings on the pv_array.,monitor,pv_array,current,unstable,post_storm
Check solar_panel — efficiency seems high.,check,solar_panel,efficiency,high,none
Inspect the overload frequency in the battery_bank.,inspect,battery_bank,frequency,overload,under_cloud_cover
Log grid_tie_inverter — voltage seems sudden_drop.,log,grid_tie_inverter,voltage,sudden_drop,under_cloud_cover
Check the critical load_balance in the charge_controller.,check,charge_controller,load_balance,critical,at_night
Check output_power readings on the solar_panel.,check,solar_panel,output_power,critical,under_cloud_cover
Reset sensor discrepancy: battery_bank state_of_charge.,reset,battery_bank,state_of_charge,sudden_drop,none
Inspect anomaly in charge_controller irradiance.,inspect,charge_controller,irradiance,intermittent,heatwave
Reset grid_tie_inverter — irradiance seems low.,reset,grid_tie_inverter,irradiance,low,none
Predict why the charge_controller voltage is unstable.,predict,charge_controller,voltage,unstable,at_night
Check the microgrid_controller output_power.,check,microgrid_controller,output_power,sudden_drop,none
Optimize the smart_meter state_of_charge.,optimize,smart_meter,state_of_charge,overload,during_peak_hours
Check the microgrid_controller efficiency.,check,microgrid_controller,efficiency,unstable,during_peak_hours
Inspect the none voltage in the solar_panel.,inspect,solar_panel,voltage,none,at_night
Check why the solar_panel voltage is unstable.,check,solar_panel,voltage,unstable,under_cloud_cover
Reset sensor discrepancy: battery_bank current.,reset,battery_bank,current,overload,post_storm
Diagnose anomaly in charge_controller voltage.,diagnose,charge_controller,voltage,sudden_drop,post_storm
Predict the none current in the grid_tie_inverter.,predict,grid_tie_inverter,current,none,none
Predict the low fault_code in the pv_array.,predict,pv_array,fault_code,low,heatwave
Monitor frequency readings on the smart_meter.,monitor,smart_meter,frequency,overload,post_storm
Reset issue detected in smart_meter irradiance.,reset,smart_meter,irradiance,none,during_peak_hours
Monitor issue detected in charge_controller state_of_charge.,monitor,charge_controller,state_of_charge,unstable,under_cloud_cover
Optimize sensor discrepancy: grid_tie_inverter efficiency.,optimize,grid_tie_inverter,efficiency,intermittent,post_storm
Diagnose sensor discrepancy: grid_tie_inverter output_power.,diagnose,grid_tie_inverter,output_power,unstable,none
Log sensor discrepancy: inverter current.,log,inverter,current,low,under_cloud_cover
Log why the charge_controller temperature is overload.,log,charge_controller,temperature,overload,none
Log issue detected in inverter efficiency.,log,inverter,efficiency,critical,under_cloud_cover
Optimize issue detected in battery_bank load_balance.,optimize,battery_bank,load_balance,sudden_drop,none
Inspect charge_controller — efficiency seems low.,inspect,charge_controller,efficiency,low,under_cloud_cover
Inspect sensor discrepancy: microgrid_controller output_power.,inspect,microgrid_controller,output_power,overload,at_night
Optimize the sudden_drop frequency in the microgrid_controller.,optimize,microgrid_controller,frequency,sudden_drop,at_night
Check fault_code readings on the pv_array.,check,pv_array,fault_code,intermittent,under_cloud_cover
Log solar_panel — output_power seems high.,log,solar_panel,output_power,high,at_night
Optimize the high voltage in the microgrid_controller.,optimize,microgrid_controller,voltage,high,post_storm
Monitor the high output_power in the microgrid_controller.,monitor,microgrid_controller,output_power,high,at_night
Diagnose the unstable irradiance in the grid_tie_inverter.,diagnose,grid_tie_inverter,irradiance,unstable,post_storm
Optimize load_balance readings on the inverter.,optimize,inverter,load_balance,intermittent,under_cloud_cover
Diagnose the smart_meter frequency.,diagnose,smart_meter,frequency,sudden_drop,at_night
Reset the intermittent current in the battery_bank.,reset,battery_bank,current,intermittent,heatwave
Predict the charge_controller state_of_charge.,predict,charge_controller,state_of_charge,sudden_drop,under_cloud_cover
Predict why the battery_bank voltage is none.,predict,battery_bank,voltage,none,none
Predict issue detected in pv_array efficiency.,predict,pv_array,efficiency,sudden_drop,post_storm
Monitor smart_meter — state_of_charge seems intermittent.,monitor,smart_meter,state_of_charge,intermittent,heatwave
Predict fault_code readings on the inverter.,predict,inverter,fault_code,unstable,under_cloud_cover
Inspect frequency readings on the pv_array.,inspect,pv_array,frequency,high,none
Optimize the intermittent fault_code in the battery_bank.,optimize,battery_bank,fault_code,intermittent,none
Diagnose sensor discrepancy: battery_bank temperature.,diagnose,battery_bank,temperature,none,none
Log issue detected in grid_tie_inverter current.,log,grid_tie_inverter,current,unstable,heatwave
Check why the solar_panel state_of_charge is critical.,check,solar_panel,state_of_charge,critical,none
Reset the sudden_drop fault_code in the grid_tie_inverter.,reset,grid_tie_inverter,fault_code,sudden_drop,during_peak_hours
Inspect irradiance readings on the inverter.,inspect,inverter,irradiance,low,under_cloud_cover
Diagnose inverter — current seems critical.,diagnose,inverter,current,critical,heatwave
Optimize why the smart_meter voltage is critical.,optimize,smart_meter,voltage,critical,none
Reset the none state_of_charge in the charge_controller.,reset,charge_controller,state_of_charge,none,during_peak_hours
Reset issue detected in microgrid_controller output_power.,reset,microgrid_controller,output_power,critical,under_cloud_cover
Predict the solar_panel irradiance.,predict,solar_panel,irradiance,critical,heatwave
Inspect the intermittent output_power in the inverter.,inspect,inverter,output_power,intermittent,during_peak_hours
Check sensor discrepancy: inverter temperature.,check,inverter,temperature,critical,post_storm
Log why the microgrid_controller output_power is intermittent.,log,microgrid_controller,output_power,intermittent,heatwave
Inspect sensor discrepancy: smart_meter current.,inspect,smart_meter,current,low,post_storm
Inspect issue detected in pv_array fault_code.,inspect,pv_array,fault_code,overload,post_storm
Log the grid_tie_inverter voltage.,log,grid_tie_inverter,voltage,sudden_drop,at_night
Predict sensor discrepancy: charge_controller efficiency.,predict,charge_controller,efficiency,none,post_storm
Log why the battery_bank current is overload.,log,battery_bank,current,overload,at_night
Log anomaly in grid_tie_inverter output_power.,log,grid_tie_inverter,output_power,none,under_cloud_cover
Reset issue detected in charge_controller voltage.,reset,charge_controller,voltage,intermittent,heatwave
Diagnose pv_array — fault_code seems overload.,diagnose,pv_array,fault_code,overload,post_storm
Reset anomaly in charge_controller irradiance.,reset,charge_controller,irradiance,none,post_storm
Reset fault_code readings on the inverter.,reset,inverter,fault_code,overload,during_peak_hours
Optimize the none frequency in the solar_panel.,optimize,solar_panel,frequency,none,during_peak_hours
Optimize sensor discrepancy: smart_meter load_balance.,optimize,smart_meter,load_balance,overload,heatwave
Reset anomaly in grid_tie_inverter frequency.,reset,grid_tie_inverter,frequency,low,post_storm
Check issue detected in solar_panel current.,check,solar_panel,current,critical,post_storm
Predict grid_tie_inverter — load_balance seems none.,predict,grid_tie_inverter,load_balance,none,none
Log why the battery_bank irradiance is sudden_drop.,log,battery_bank,irradiance,sudden_drop,none
Predict the intermittent efficiency in the grid_tie_inverter.,predict,grid_tie_inverter,efficiency,intermittent,under_cloud_cover
Predict the solar_panel output_power.,predict,solar_panel,output_power,intermittent,heatwave
Predict microgrid_controller — irradiance seems intermittent.,predict,microgrid_controller,irradiance,intermittent,none
Check irradiance readings on the solar_panel.,check,solar_panel,irradiance,low,none
Reset the sudden_drop current in the microgrid_controller.,reset,microgrid_controller,current,sudden_drop,during_peak_hours
Log the critical efficiency in the microgrid_controller.,log,microgrid_controller,efficiency,critical,heatwave
Log anomaly in battery_bank load_balance.,log,battery_bank,load_balance,critical,none
Monitor load_balance readings on the battery_bank.,monitor,battery_bank,load_balance,high,post_storm
Optimize anomaly in battery_bank temperature.,optimize,battery_bank,temperature,sudden_drop,none
Optimize anomaly in pv_array current.,optimize,pv_array,current,unstable,post_storm
Reset the microgrid_controller voltage.,reset,microgrid_controller,voltage,sudden_drop,post_storm
Diagnose sensor discrepancy: inverter output_power.,diagnose,inverter,output_power,sudden_drop,during_peak_hours
Diagnose issue detected in battery_bank current.,diagnose,battery_bank,current,sudden_drop,post_storm
Check anomaly in battery_bank irradiance.,check,battery_bank,irradiance,overload,post_storm
Check output_power readings on the charge_controller.,check,charge_controller,output_power,sudden_drop,during_peak_hours
Monitor why the inverter state_of_charge is unstable.,monitor,inverter,state_of_charge,unstable,under_cloud_cover
Inspect the charge_controller current.,inspect,charge_controller,current,sudden_drop,none
Check fault_code readings on the charge_controller.,check,charge_controller,fault_code,high,at_night
Reset solar_panel — irradiance seems high.,reset,solar_panel,irradiance,high,heatwave
Monitor anomaly in solar_panel state_of_charge.,monitor,solar_panel,state_of_charge,intermittent,during_peak_hours
Diagnose the sudden_drop frequency in the smart_meter.,diagnose,smart_meter,frequency,sudden_drop,during_peak_hours
Check anomaly in charge_controller current.,check,charge_controller,current,unstable,under_cloud_cover
Reset why the grid_tie_inverter temperature is unstable.,reset,grid_tie_inverter,temperature,unstable,post_storm
Diagnose anomaly in microgrid_controller state_of_charge.,diagnose,microgrid_controller,state_of_charge,low,heatwave
Diagnose the sudden_drop output_power in the charge_controller.,diagnose,charge_controller,output_power,sudden_drop,post_storm
Log the overload efficiency in the charge_controller.,log,charge_controller,efficiency,overload,at_night
Monitor anomaly in pv_array current.,monitor,pv_array,current,critical,at_night
Optimize issue detected in pv_array output_power.,optimize,pv_array,output_power,intermittent,post_storm
Reset the battery_bank fault_code.,reset,battery_bank,fault_code,sudden_drop,during_peak_hours
Predict why the pv_array current is critical.,predict,pv_array,current,critical,heatwave
Diagnose state_of_charge readings on the pv_array.,diagnose,pv_array,state_of_charge,high,at_night
Predict the high efficiency in the inverter.,predict,inverter,efficiency,high,at_night
Reset smart_meter — voltage seems intermittent.,reset,smart_meter,voltage,intermittent,during_peak_hours
Reset solar_panel — irradiance seems none.,reset,solar_panel,irradiance,none,post_storm
Predict anomaly in microgrid_controller state_of_charge.,predict,microgrid_controller,state_of_charge,sudden_drop,post_storm
Predict voltage readings on the microgrid_controller.,predict,microgrid_controller,voltage,unstable,under_cloud_cover
Log why the pv_array irradiance is intermittent.,log,pv_array,irradiance,intermittent,under_cloud_cover
Log the charge_controller load_balance.,log,charge_controller,load_balance,none,none
Reset the high fault_code in the microgrid_controller.,reset,microgrid_controller,fault_code,high,none
Inspect issue detected in solar_panel fault_code.,inspect,solar_panel,fault_code,unstable,at_night
Diagnose issue detected in solar_panel efficiency.,diagnose,solar_panel,efficiency,intermittent,at_night
Optimize charge_controller — load_balance seems low.,optimize,charge_controller,load_balance,low,heatwave
Optimize the solar_panel load_balance.,optimize,solar_panel,load_balance,low,during_peak_hours
Predict the charge_controller state_of_charge.,predict,charge_controller,state_of_charge,high,heatwave
Predict state_of_charge readings on the inverter.,predict,inverter,state_of_charge,unstable,heatwave
Check the sudden_drop fault_code in the microgrid_controller.,check,microgrid_controller,fault_code,sudden_drop,at_night
Diagnose anomaly in grid_tie_inverter fault_code.,diagnose,grid_tie_inverter,fault_code,critical,heatwave
Check sensor discrepancy: grid_tie_inverter efficiency.,check,grid_tie_inverter,efficiency,overload,at_night
Log issue detected in microgrid_controller load_balance.,log,microgrid_controller,load_balance,low,none
Check sensor discrepancy: grid_tie_inverter state_of_charge.,check,grid_tie_inverter,state_of_charge,critical,under_cloud_cover
Reset the charge_controller temperature.,reset,charge_controller,temperature,intermittent,post_storm
Predict sensor discrepancy: grid_tie_inverter temperature.,predict,grid_tie_inverter,temperature,overload,under_cloud_cover
Check grid_tie_inverter — irradiance seems intermittent.,check,grid_tie_inverter,irradiance,intermittent,during_peak_hours
